interview_number,interview_date,interview_time,respondent_gender,respondent_age,respondent_class,respondent_home,number_alters,alter1_gender,alter1_age,alter1_class,alter1_home,alter1_howclose,alter1_howoften,alter2_gender,alter2_age,alter2_class,alter2_home,alter2_howclose,alter2_howoften,alter3_gender,alter3_age,alter3_class,alter3_home,alter3_howclose,alter3_howoften,alter4_gender,alter4_age,alter4_class,alter4_home,alter4_howclose,alter4_howoften,alter5_gender,alter5_age,alter5_class,alter5_home,alter5_howclose,alter5_howoften
2,2021-08-31,09:10:00,Female,20,Junior,LA Area,6+,Other,21,Other,Rest of United States,Friend,Once a week,Female,20,Junior,LA Area,Close friend,Once a month,Other,20,Junior,LA Area,Close friend,More than once a week,Female,20,Junior,LA Area,Close friend,More than once a week,Other,26,Other,Rest of United States,Friend,More than once a week
3,2021-08-31,11:17:00,Female,21,Senior,Bay Area,4,Female,21,Senior,Bay Area,Close friend,More than once a week,Female,50,Other,Bay Area,Close friend,More than once a week,Male,50,Other,Bay Area,Close friend,Once a week,Female,27,Other,Bay Area,Close friend,Once a week,NA,NA,NA,NA,NA,NA
1,2021-08-31,09:08:00,Male,22,Senior,Rest of California,5,Female,54,Other,Rest of California,Close friend,Once a week,Male,61,Other,Rest of California,Close friend,Once a month,Male,20,Sophomore,Rest of California,Close friend,Once a month,Male,23,Other,Rest of United States,Friend,More than once a week,Female,22,Senior,Rest of United States,Friend,More than once a week
2,2021-08-31,16:10:00,Male,21,Senior,LA Area,4,Male,50,Other,LA Area,Close friend,More than once a week,Female,49,Other,LA Area,Close friend,More than once a week,Male,30,Other,Rest of California,Friend,More than once a week,Female,20,Other,Bay Area,Friend,More than once a week,NA,NA,NA,NA,NA,NA
3,2021-08-31,16:17:00,Male,21,Senior,LA Area,4,Male,53,Other,LA Area,Close friend,Once a week,Female,21,Senior,LA Area,Friend,Once a month,Female,27,Other,LA Area,Friend,More than once a week,Female,21,Senior,Rest of World,Close friend,Once a month,NA,NA,NA,NA,NA,NA
1,2021-08-31,09:05:00,Female,22,Junior,LA Area,5,Male,21,Sophomore,Rest of World,Close friend,More than once a week,Female,21,Junior,LA Area,Close friend,More than once a week,Male,21,Junior,LA Area,Close friend,More than once a week,Female,20,Junior,LA Area,Close friend,More than once a week,Female,21,Junior,LA Area,Close friend,More than once a week
2,2021-08-31,14:58:00,Male,20,Junior,Rest of World,5,Female,20,Junior,Rest of California,Close friend,Once a week,Male,50,Other,Rest of World,Close friend,Once a month,Female,50,Other,Rest of World,Close friend,Once a month,Male,18,Sophomore,Rest of World,Close friend,Once a month,Male,20,Junior,Rest of World,Friend,Once a month
3,2021-03-31,22:08:00,Female,20,Junior,Rest of World,6+,Female,20,Junior,LA Area,Close friend,More than once a week,Female,20,Junior,LA Area,Close friend,More than once a week,Female,20,Junior,Rest of World,Close friend,More than once a week,Female,20,Junior,Rest of World,Close friend,Once a week,Female,53,Other,Rest of World,Close friend,Once a month
1,2021-09-01,12:30:00,Male,20,Junior,Rest of California,5,Male,19,Sophomore,Bay Area,Friend,Once a week,Male,21,Junior,Bay Area,Friend,Once a week,Male,20,Junior,LA Area,Friend,More than once a week,Female,47,Other,Rest of United States,Close friend,More than once a week,Male,17,Freshman,Rest of United States,Close friend,Once a week
2,2021-09-01,13:00:00,Male,20,Junior,Rest of California,5,Male,21,Junior,LA Area,Friend,Once a week,Male,20,Junior,LA Area,Friend,Once a week,Female,20,Junior,LA Area,Friend,Once a week,Male,19,Sophomore,LA Area,Friend,Once a week,Male,20,Junior,Rest of United States,Friend,More than once a week
3,2021-09-01,13:30:00,Male,20,Junior,Rest of California,5,Male,21,Junior,LA Area,Friend,Once a week,Male,52,Other,LA Area,Close friend,More than once a week,Male,20,Junior,LA Area,Friend,Once a week,Female,19,Sophomore,LA Area,Close friend,More than once a week,Male,21,Junior,LA Area,Friend,Once a week
1,2021-08-31,09:03:00,Male,21,Senior,Bay Area,5,Male,21,Senior,Bay Area,Close friend,More than once a week,Male,20,Senior,Bay Area,Close friend,More than once a week,Male,21,Senior,Bay Area,Close friend,More than once a week,Male,21,Senior,Bay Area,Close friend,More than once a week,Female,21,Senior,Bay Area,Close friend,More than once a week
2,2021-09-01,15:50:00,Male,23,Other,Rest of United States,5,Female,23,Other,LA Area,Close friend,More than once a week,Female,26,Other,Rest of World,Close friend,More than once a week,Female,23,Other,Rest of World,Close friend,More than once a week,Female,23,Other,Rest of California,Close friend,More than once a week,Male,23,Other,Rest of California,Close friend,More than once a week
